poiID,lat,long,pkid,tvisit,qoeid
1,-31955,115860556,1,60,1
2,-31951634,115847209,2,60,2
3,-31949031,115860513,3,60,3
4,-31946,115854,4,60,4
5,-319585,1158599,5,60,5
6,-319585,115574,6,60,6
7,-319565,115.86,7,60,7
8,-319595,1158766,8,60,8
9,-319461,1158555,9,60,9
10,-31.96,115.83,10,60,10
11,-319379,1158628,11,60,11
12,-31950624,115860898,12,60,12
13,-3194956,115861391,13,60,13
14,-31.96,11587972,14,60,14
15,-3194583,11587000,15,60,15
16,-31943896,115876976,16,60,16
17,-31951493,115860448,17,60,17
18,-31956586,115855476,18,60,18
19,-319562,11585465,19,60,19
20,-319505,115857,20,60,20
21,-3196083,11589556,21,60,21
22,-3195806,11586361,22,60,22
23,-3194833,11585194,23,60,23
24,-31993,115757,24,60,24
25,-32119,115766,25,60,25
